Country,Flag,Population,GDP (PPP) per capita,Site Visits,YouTube Views,Wikipedia Views
AD,,,,,,741000
AI,,,,,,31000
AQ,,,,,,14000
AS,,,,,,44000
AX,,,,,,280000
Albania,🇦🇱,2363314,23405,1,805,7445000
Algeria,🇩🇿,47400000,18525,1,3593,20810000
Angola,🇦🇴,36170961,10234,1,30,2914000
Antigua and Barbuda,🇦🇬,,31380,,12,183000
Argentina,🇦🇷,46735004,31311,11,31491,108492000
Armenia,🇦🇲,3081100,25060,2,1579,12416000
Aruba,🇦🇼,,49451,,11,390000
Australia,🇦🇺,27536874,71430,153,193895,233409000
Austria,🇦🇹,9200931,74850,34,48537,86560000
Azerbaijan,🇦🇿,10241722,26235,1,232,
BF,,,,,,1126000
BI,,,,,,191000
BJ,,,,,,1139000
BL,,,,,,4000
BM,,,,,,407000
BQ,,,,,,89000
BT,,,,,,444000
BV,,,,,,1000
Bahamas,🇧🇸,,42003,,90,940000
Bahrain,🇧🇭,,69270,,153,
Bangladesh,🇧🇩,169828911,10265,2,15564,
Barbados,🇧🇧,267800,23269,1,157,976000
Belarus,🇧🇾,9109280,34069,1,3224,
Belgium,🇧🇪,11825551,75880,34,43407,76630000
Belize,🇧🇿,,15982,,38,500000
Bolivia,🇧🇴,11365333,11574,2,209,8079000
Bosnia and Herzegovina,🇧🇦,3422000,22831,2,1722,11400000
Botswana,🇧🇼,,19166,,92,668000
Brazil,🇧🇷,213421037,23239,53,140662,380115000
Brunei,🇧🇳,,94470,,100,1863000
Bulgaria,🇧🇬,6437360,42477,20,15014,35821000
Burkina Faso,,24070553,2978,1,,
CC,,,,,,1000
CD,,,,,,3267000
CF,,,,,,58000
CG,,,,,,1020000
CI,,,,,,4601000
CK,,,,,,47000
CV,,,,,,352000
CW,,,,,,446000
CX,,,,,,1000
Cambodia,🇰🇭,17577760,8646,10,533,6017000
Cameroon,🇨🇲,,5760,,55,2615000
Canada,🇨🇦,41651653,65500,136,286245,401620000
Cape Verde,,491233,12255,1,,
Chile,🇨🇱,20206953,35286,7,13572,52612000
China,🇨🇳,1408280000,29191,69,2885,
Colombia,🇨🇴,53057212,22421,6,11498,56132000
Costa Rica,🇨🇷,,31485,,1940,9941000
Croatia,🇭🇷,3866233,51453,11,14841,29027000
Cuba,🇨🇺,,,,47,
Cyprus,🇨🇾,966400,65300,1,1924,7273000
Czech Republic,🇨🇿,10882341,59850,198,47163,80458000
DM,,,,,,145000
Denmark,🇩🇰,6004342,84760,63,47340,43900000
Dominican Republic,🇩🇴,10771504,30538,2,1158,10146000
EH,,,,,,1000
Ecuador,🇪🇨,,16578,,667,19569000
Egypt,🇪🇬,107271260,21668,5,10013,
El Salvador,🇸🇻,,13753,,42,5197000
Estonia,🇪🇪,1369995,49087,8,6236,16827000
Ethiopia,🇪🇹,,4398,,355,
FJ,,,,,,607000
FK,,,,,,25000
FM,,,,,,36000
Faroe Islands,🇫🇴,54885,,1,21,402000
